epoch,TP,FN,FP,TN,Loss,Accuracy,MCC,Specificity,Precision,Recall,F1
21,30.0,72.0,26.0,73.0,1.7539513091246286,0.5124378109452736,0.03511813323576331,0.7373737373737373,0.5357142857142857,0.29411764705882354,0.379746835443038
22,28.0,74.0,29.0,70.0,2.1615063846111298,0.48756218905472637,-0.020430386711915927,0.7070707070707071,0.49122807017543857,0.27450980392156865,0.3522012578616352
23,28.0,74.0,29.0,70.0,2.037140025695165,0.48756218905472637,-0.020430386711915927,0.7070707070707071,0.49122807017543857,0.27450980392156865,0.3522012578616352
24,25.0,77.0,30.0,69.0,2.371821238597234,0.46766169154228854,-0.0649651447226566,0.696969696969697,0.45454545454545453,0.24509803921568626,0.3184713375796178
25,23.0,79.0,34.0,65.0,2.268851950764656,0.43781094527363185,-0.13082037942952618,0.6565656565656566,0.40350877192982454,0.22549019607843138,0.2893081761006289
26,32.0,70.0,30.0,69.0,2.1125763575236003,0.5024875621890548,0.011577181112993846,0.696969696969697,0.5161290322580645,0.3137254901960784,0.3902439024390244
27,36.0,66.0,28.0,71.0,1.8691135843594868,0.5323383084577115,0.07524286157755823,0.7171717171717171,0.5625,0.35294117647058826,0.43373493975903615
28,29.0,73.0,28.0,71.0,2.146671302119891,0.4975124378109453,0.0016476118316061232,0.7171717171717171,0.5087719298245614,0.28431372549019607,0.36477987421383645
29,29.0,73.0,28.0,71.0,2.308608474334081,0.4975124378109453,0.0016476118316061232,0.7171717171717171,0.5087719298245614,0.28431372549019607,0.36477987421383645
30,34.0,68.0,29.0,70.0,2.420044702291489,0.5174129353233831,0.043544435214465965,0.7070707070707071,0.5396825396825397,0.3333333333333333,0.4121212121212121
31,36.0,66.0,28.0,71.0,2.2642927795648573,0.5323383084577115,0.07524286157755823,0.7171717171717171,0.5625,0.35294117647058826,0.43373493975903615
32,30.0,72.0,31.0,68.0,2.607256778081258,0.48756218905472637,-0.020675432835643808,0.6868686868686869,0.4918032786885246,0.29411764705882354,0.36809815950920244
33,33.0,69.0,26.0,73.0,2.2807824085156123,0.527363184079602,0.0668632149289883,0.7373737373737373,0.559322033898305,0.3235294117647059,0.40993788819875776
34,44.0,58.0,25.0,74.0,2.219027938817938,0.5870646766169154,0.1883165771542542,0.7474747474747475,0.6376811594202898,0.43137254901960786,0.5146198830409356
35,40.0,62.0,23.0,76.0,2.387005315969388,0.5771144278606966,0.17225666283369623,0.7676767676767676,0.6349206349206349,0.39215686274509803,0.48484848484848486
36,42.0,60.0,25.0,74.0,2.287240816652775,0.5771144278606966,0.16888013236829963,0.7474747474747475,0.6268656716417911,0.4117647058823529,0.4970414201183432
37,41.0,61.0,24.0,75.0,2.2582812502980234,0.5771144278606966,0.17051073432059108,0.7575757575757576,0.6307692307692307,0.4019607843137255,0.49101796407185627
38,41.0,61.0,20.0,79.0,2.3754608462254208,0.5970149253731343,0.21741509841231693,0.797979797979798,0.6721311475409836,0.4019607843137255,0.5030674846625767
39,38.0,64.0,20.0,79.0,2.469655121862888,0.582089552238806,0.1881626619460009,0.797979797979798,0.6551724137931034,0.37254901960784315,0.475
